CODIGO_UNIDADE;NOME_UNIDADE;DT_AUTORIZA_FUNCIONA_UNID;NOME_REGIAO_UNIDADE;SIGLA_UF_UNIDADE;NOME_MUNICIPIO_UNIDADE;NOME_MESORREGIAO_UNIDADE;NOME_MICRORREGIAO_UNIDADE
2879;INSTITUTO FEDERAL DA BAHIA - CAMPUS EUNÁPOLIS;07-01-2009;Nordeste;BA;Eunápolis;Sul Baiano;Porto Seguro
2948;INSTITUTO FEDERAL BAIANO - CAMPUS ITAPETINGA;07-01-2009;Nordeste;BA;Itapetinga;Centro Sul Baiano;Itapetinga
14328;INSTITUTO FEDERAL DO ACRE - CAMPUS SENA MADUREIRA;30-12-2008;Norte;AC;Sena Madureira;Vale do Acre;Sena Madureira
14547;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS ARAPIRACA;06-07-2010;Nordeste;AL;Arapiraca;Agreste Alagoano;Arapiraca
32010;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS CORURIPE;22-01-2014;Nordeste;AL;Coruripe;Leste Alagoano;São Miguel dos Campos
3820;UNIVERSIDADE FEDERAL DE ALAGOAS - ESCOLA TÉCNICA DE ARTES;06-11-2006;Nordeste;AL;Maceió;Leste Alagoano;Maceió
14550;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS PIRANHAS;06-07-2010;Nordeste;AL;Piranhas;Sertão Alagoano;Alagoana do Sertão do São Francisco
31961;INSTITUTO FEDERAL DE GOIÁS - CAMPUS VALPARAÍSO DE GOIÁS;27-01-2014;Centro-Oeste;GO;Valparaíso de Goiás;Leste Goiano;Entorno de Brasília
42117;INSTITUTO FEDERAL DO MARANHÃO CAMPUS AVANÇADO CAROLINA;30-12-2013;Nordeste;MA;Carolina;Sul Maranhense;Porto Franco
42176;INSTITUTO FEDERAL DO MARANHÃO CAMPUS SÃO JOSÉ DE RIBAMAR;30-12-2013;Nordeste;MA;São José de Ribamar;Norte Maranhense;Aglomeração Urbana de São Luís
12973;UNIVERSIDADE FEDERAL DO MARANHÃO - COLÉGIO UNIVERSITÁRIO;20-05-1968;Nordeste;MA;São Luís;Norte Maranhense;Aglomeração Urbana de São Luís
2909;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS SÃO LUÍS CENTRO HISTÓRICO;07-01-2009;Nordeste;MA;São Luís;Norte Maranhense;Aglomeração Urbana de São Luís
2859;INSTITUTO FEDERAL DA BAHIA - CAMPUS SALVADOR;07-01-2009;Nordeste;BA;Salvador;Metropolitana de Salvador;Salvador
20102;INSTITUTO FEDERAL DA BAHIA - CAMPUS SEABRA;29-12-2009;Nordeste;BA;Seabra;Centro Sul Baiano;Seabra
14225;INSTITUTO FEDERAL DO CEARÁ - CAMPUS CRATEÚS;30-03-2010;Nordeste;CE;Crateús;Sertões Cearenses;Sertão de Cratéus
42044;INSTITUTO FEDERAL DO CEARÁ CAMPUS AVANÇADO JAGUARUANA;31-12-2013;Nordeste;CE;Jaguaruana;Jaguaribe;Baixo Jaguaribe
3575;INSTITUTO FEDERAL DO CEARÁ - CAMPUS LIMOEIRO DO NORTE;29-12-2008;Nordeste;CE;Limoeiro do Norte;Jaguaribe;Baixo Jaguaribe
2895;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS ITAPINA;07-01-2009;Sudeste;ES;Colatina;Noroeste Espírito-santense;Colatina
20571;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS CENTRO SERRANO;30-12-2008;Sudeste;ES;Santa Maria de Jetibá;Central Espírito-santense;Santa Teresa
20427;INSTITUTO FEDERAL DE GOIÁS CAMPUS ÁGUAS LINDAS DE GOIÁS;28-12-2008;Centro-Oeste;GO;Águas Lindas de Goiás;Leste Goiano;Entorno de Brasília
20430;INSTITUTO FEDERAL DE GOIÁS - CAMPUS APARECIDA DE GOIÂNIA;28-12-2008;Centro-Oeste;GO;Aparecida de Goiânia;Centro Goiano;Goiânia
20417;INSTITUTO FEDERAL DE GOIÁS - CAMPUS CIDADE DE GOIÁS;29-12-2008;Centro-Oeste;GO;Goiás;Noroeste Goiano;Rio Vermelho
2958;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS - CAMPUS JUIZ DE FORA;07-01-2009;Sudeste;MG;Juiz de Fora;Zona da Mata;Juiz de Fora
3063;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - UNED LEOPOLDINA;07-01-2009;Sudeste;MG;Leopoldina;Zona da Mata;Cataguases
20432;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS OURO BRANCO;29-12-2008;Sudeste;MG;Ouro Branco;Metropolitana de Belo Horizonte;Conselheiro Lafaiete
14020;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS - CAMPUS POÇOS DE CALDAS;30-12-2008;Sudeste;MG;Poços de Caldas;Sul/Sudoeste de Minas;Poços de Caldas
14021;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS - CAMPUS POUSO ALEGRE;30-12-2008;Sudeste;MG;Pouso Alegre;Sul/Sudoeste de Minas;Pouso Alegre
12977;UNIVERSIDADE FEDERAL DE MINAS GERAIS - COLEGIO TÉCNICO DA UFMG;09-12-1971;Sudeste;MG;Belo Horizonte;Metropolitana de Belo Horizonte;Belo Horizonte
13395;INSTITUTO FEDERAL DO PARÁ - CAMPUS SANTARÉM;29-12-2008;Norte;PA;Santarém;Baixo Amazonas;Santarém
32034;INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO AREIA;31-01-2014;Nordeste;PB;Areia;Agreste Paraibano;Brejo Paraibano
32310;INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO CABEDELO CENTRO;22-01-2014;Nordeste;PB;Cabedelo;Mata Paraibana;João Pessoa
3584;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS PATOS;07-01-2009;Nordeste;PB;Patos;Sertão Paraibano;Patos
13463;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS - CAMPUS SÃO JOÃO DEL REI;07-01-2009;Sudeste;MG;São João del Rei;Campo das Vertentes;São João Del Rei
32023;INSTITUTO FEDERAL DO SUL DE MINAS GERAIS - CAMPUS AVANÇADO TRÊS CORAÇÕES;22-01-2014;Sudeste;MG;Três Corações;Sul/Sudoeste de Minas;Varginha
12485;INSTITUTO FEDERAL DO MATO GROSSO DO SUL - CAMPUS CAMPO GRANDE;30-12-2008;Centro-Oeste;MS;Campo Grande;Centro Norte de Mato Grosso do Sul;Campo Grande
13893;INSTITUTO FEDERAL DO MATO GROSSO DO SUL - CAMPUS COXIM;08-07-2010;Centro-Oeste;MS;Coxim;Centro Norte de Mato Grosso do Sul;Alto Taquari
